QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q28324141,Aleksandra Monedzhikova,Bulgarian geographer (1889-1959),"['geographer', 'teacher', 'writer', 'opinion journalist', 'historian']",19,"['polish', 'scientist', 'swedish', 'born', 'politician']",9.307298,6.4057455
Q96006976,Cymene Howe,cultural anthropologist,['anthropologist'],2,"['anthropologist', 'cultural', 'academic', 'professor', 'social']",14.554954,12.014363
Q50376647,Wendy Burn,President of the Royal College of Psychiatrists,['psychiatrist'],47,"['psychologist', 'psychiatrist', 'psychoanalyst', 'born', 'german']",18.223984,4.891624
Q12795028,Ljudmila Dolar Mantuani,Slovenian petrologist,"['geologist', 'university teacher', 'mineralogist', 'petrologist']",19,"['polish', 'scientist', 'swedish', 'born', 'politician']",8.731523,6.8957543
Q22006322,Dorolyn Lines,irrigation engineer (1901-1975),['engineer'],31,"['engineer', 'electrical', 'chemical', 'mechanical', 'biomedical']",4.844839,5.695775
Q388236,Lydia DeWitt,pathologist and anatomist (1859–1928),"['anatomist', 'pathologist']",17,"['physician', 'medical', 'doctor', 'mycologist', 'pathologist']",10.0337,4.5621257
Q61974497,Anne Thorne,physicist,['physicist'],3,"['physicist', 'physics', 'researcher', 'particle', 'scientist']",-4.523447,18.816576
Q70377474,Alinah Kelo Segobye,"Social development activist, Professor and Archaeologist","['archaeologist', 'activist', 'professor', 'deputy', 'president']",24,"['archaeologist', 'australian', 'academic', 'anthropologist', 'curator']",4.7036085,3.7864385
Q202818,Ita Wegman,Dutch physician,['physician'],52,"['physician', 'australian', 'american', 'medical', 'doctor']",9.145834,4.2264104
Q91663925,Deborah C. Merrett,researcher (ORCID 0000-0001-9539-7271),['researcher'],54,"['0000', 'orcid', 'researcher', 'id', '0002']",7.0515485,16.424784
Q24572168,Patri Vergara,Spanish veterinarian,['veterinarian'],36,"['spanish', 'scientist', 'mexican', 'researcher', 'argentine']",8.948559,4.7749043
Q4767362,Anna Mullikin,mathematician (1893-1975),"['mathematician', 'teacher']",28,"['mathematician', 'american', 'mathematics', 'applied', 'canadian']",10.254589,-0.71472305
Q3850507,Mary Styles Harris,geneticist,['geneticist'],34,"['geneticist', 'australian', 'researcher', 'canadian', 'molecular']",15.48482,0.97864366
Q21004961,Barbara E. Ehrlich,professor of pharmacology and of cellular and molecular physiology,"['biologist', 'researcher', 'pharmacologist']",41,"['biologist', 'molecular', 'cell', 'professor', 'researcher']",11.371968,6.214004
Q101210035,Vimla Virmani,Indian neurologist,[],8,"['neuroscientist', 'neurologist', 'researcher', 'neurobiologist', 'cognitive']",20.60627,7.0295973
Q33691927,Norma Salinas Revilla,Peruvian ecologist,"['researcher', 'biologist', 'university teacher', 'botanist', 'botanical collector', 'scientific collector']",37,"['ecologist', 'environmental', 'scientist', 'australian', 'researcher']",2.7779455,6.3285465
Q14232,Jean E. Sammet,computer scientist (1928-2017),"['computer scientist', 'mathematician']",44,"['computer', 'scientist', 'american', 'programmer', 'researcher']",5.184935,13.077003
Q66942146,Elham Kashefi,computer scientist and quantum computing researcher,['computer scientist'],44,"['computer', 'scientist', 'american', 'programmer', 'researcher']",5.7972035,7.782703
Q13640976,Marie Andree-Eysn,Austrian botanist and folklorist (1847-1929),"['botanist', 'botanical collector', 'folklorist', 'scientific collector']",10,"['botanist', 'botanical', 'collector', 'plant', 'australian']",5.976547,0.011621994
Q21516848,Betsy Rivers Jackes,Australian botanist and author,['botanist'],10,"['botanist', 'botanical', 'collector', 'plant', 'australian']",6.5858808,-0.07732948
Q18684229,Arienne Dwyer,linguist,['linguist'],50,"['linguist', 'professor', 'linguistics', 'language', 'australian']",16.072998,14.679437
Q48806419,Usha Varanasi,oceanic scientist,['oceanographer'],56,"['marine', 'biologist', 'ecologist', 'scientist', 'australian']",3.638718,7.1371303
Q40632763,Maria Forsyth,Australian chemist professor,['chemist'],18,"['chemist', 'chemistry', 'professor', 'chinese', 'canadian']",8.260264,10.792348
Q57017237,Terri Roth,zoologist,['zoologist'],4,"['zoologist', 'herpetologist', 'biologist', 'australian', 'scientist']",8.994521,14.445324
Q57470745,Anne M. Thompson,climatologist,['climatologist'],40,"['entomologist', 'ornithologist', 'climatologist', 'australian', 'ecologist']",-1.0771515,-3.6887414
Q11769185,Marija Šimanska,Latvian chemist of Polish heritage (1922-1995),"['chemist', 'inventor']",13,"['chemist', 'german', 'swedish', 'american', 'polish']",8.604026,6.8108287
Q27672928,Alison S. Brooks,paleoanthropologist,"['archaeologist', 'paleoanthropologist', 'researcher']",26,"['paleontologist', 'geologist', 'australian', 'palaeontologist', 'paleoclimatologist']",3.929184,3.1651819
Q117479173,Molly Carnes,physician,"['physician', 'university teacher']",25,"['physician', 'medical', 'surgeon', 'virologist', 'oncologist']",-6.0236125,9.341554
Q65965691,Marcia Wilkinson,English neurologist and researcher (1919-2013),"['physician', 'neurologist']",8,"['neuroscientist', 'neurologist', 'researcher', 'neurobiologist', 'cognitive']",20.191694,6.7831345
Q21338853,Danúncia Urban,Brazilian entomologist (1933 - ),"['entomologist', 'scientist', 'taxonomist', 'biologist']",40,"['entomologist', 'ornithologist', 'climatologist', 'australian', 'ecologist']",1.5514587,-4.0380654
Q63434536,Rosemary Bagot,Canadian neuroscientist,['neuroscientist'],8,"['neuroscientist', 'neurologist', 'researcher', 'neurobiologist', 'cognitive']",18.860304,0.4610545
Q6297165,Joy K. Ward,"evolutionary biologist, academic",['evolutionary biologist'],7,"['biologist', 'biostatistician', 'molecular', 'evolutionary', 'cell']",-0.6644949,-6.2280445
Q13649815,Lyn Miles,anthropologist,"['anthropologist', 'sociologist']",2,"['anthropologist', 'cultural', 'academic', 'professor', 'social']",9.229899,-11.58557
Q98924495,Mariana C. Stern,Argentine cancer epidemiologist,['cancer epidemiologist'],12,"['epidemiologist', 'cancer', 'physician', 'researcher', 'health']",2.8720903,5.5917726
Q18738919,Karen Chin,paleontologist and taphonomist,"['paleontologist', 'university teacher', 'academic']",26,"['paleontologist', 'geologist', 'australian', 'palaeontologist', 'paleoclimatologist']",2.9778645,2.622434
Q7934120,Virginia Axline,Psychologist/one of the pioneers: Play Therapy (1911–1988),"['non-fiction writer', 'psychotherapist', 'psychologist', 'university teacher']",47,"['psychologist', 'psychiatrist', 'psychoanalyst', 'born', 'german']",17.118263,4.254053
Q21344534,Judith H. Hibbard,United States academic,['scientist'],43,"['academic', 'administrator', 'librarian', 'scientist', 'sociologist']",-9.6324415,10.773445
Q97685982,Tara Thiagarajan,neuroscientist,['neuroscientist'],8,"['neuroscientist', 'neurologist', 'researcher', 'neurobiologist', 'cognitive']",21.831984,8.2430725
Q98668712,Shirley Pledger,New Zealand mathematician and statistician,"['statistician', 'mathematician']",6,"['new', 'zealand', 'academic', 'researcher', 'scientist']",7.942239,0.7831231
Q85711732,Carla Koehler,biochemist,"['researcher', 'biochemist']",53,"['biochemist', 'german', 'american', 'australian', 'english']",24.130617,6.4739757
