QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q7513,Kathleen Lonsdale,Irish crystallographer (1903-1971),"['chemist', 'crystallographer', 'engineer', 'peace activist']",0,"['british', 'american', 'english', 'metallurgist', 'historian']",10.014561,-0.90454435
Q56905665,Christine Chambers,Canadian psychologist,['psychologist'],33,"['psychologist', 'american', 'developmental', 'academic', 'canadian']",15.729873,18.14845
Q4783329,Arabella Buckley,English science writer,"['naturalist', ""children's writer"", 'writer', 'pedagogue']",37,"['scientist', 'science', 'researcher', 'american', 'meteorologist']",12.873896,7.9685664
Q65428820,Elena Bennett,systems ecologist,['ecologist'],32,"['american', 'ecologist', 'environmental', 'scientist', 'professor']",12.429875,10.69409
Q56223008,Diane Maclagan,Professor of mathematics,"['mathematician', 'university teacher']",9,"['professor', 'university', 'chemistry', 'american', 'engineering']",14.995179,8.337827
Q55202,Women's Engineering Society,women's engineering organization,[],65,"['american', 'women', 'director', 'activist', 'organization']",15.563016,6.396702
Q1827814,Lisa Welander,Swedish neurologist,"['neurologist', 'university teacher']",36,"['american', 'neurologist', 'neurobiologist', 'neuroscientist', 'researcher']",2.4326227,-1.1803567
Q16001775,Marian Ewurama Addy,Ghanaian female science professor and quiz host,"['university teacher', 'biochemist']",50,"['scientist', 'african', 'south', 'ugandan', 'academic']",9.440765,3.6906564
Q58485218,Suzanne Rivera,American academic,['researcher'],26,"['american', 'academic', 'educator', 'professor', 'university']",25.740551,5.4161386
Q4793963,Jean Macnamara,Australian medical doctor and scientist (1899–1968),"['physician', 'medical researcher', 'orthopedic surgeon']",74,"['australian', 'researcher', 'medical', 'physician', 'health']",6.607033,3.0860064
Q27773801,Michelle Bholat,American physician,['physician'],23,"['american', 'physician', 'medical', 'doctor', 'scientist']",-6.3073854,2.0160851
Q66310031,Satyavati Motiram Sirsat,Indian cancer researcher (1925-2010),['medical researcher'],72,"['indian', 'scientist', 'researcher', 'biologist', 'american']",6.2747912,7.252756
Q7103,Sophie Germain,"French mathematician, physicist, and philosopher (1776-1831)","['mathematician', 'physicist', 'philosopher']",45,"['french', 'mathematician', 'physicist', 'applied', 'mathematics']",13.226613,-7.2518606
Q88593303,Melina Kibbe,American clinician and researcher,"['researcher', 'editor']",92,"['researcher', 'american', 'health', 'medical', 'public']",5.389354,5.5492105
Q57525749,Alison Ritter,Australian educator and drug and alcohol researcher,['psychologist'],74,"['australian', 'researcher', 'medical', 'physician', 'health']",6.514086,2.9184008
Q86231127,Alyssa Panitch,biomedical engineering researcher,['researcher'],47,"['biomedical', 'engineer', 'american', 'researcher', 'engineering']",6.438208,13.308555
Q67218110,Roya Zandi,American biophysicist,['biophysicist'],63,"['american', 'biostatistician', 'biophysicist', 'bioinformatician', 'statistician']",4.9028,9.087801
Q22303876,Swapna Patker,"Indian writer, film producer, and entrepreneur","['screenwriter', 'film producer']",72,"['indian', 'scientist', 'researcher', 'biologist', 'american']",4.746355,3.4386537
Q89796449,Mary Hawn,researcher,['researcher'],3,"['researcher', 'scientist', 'author', 'ai', 'university']",14.433144,22.514797
Q20675536,Betz Halloran,American biostatistician,"['mathematician', 'biostatistician', 'statistician', 'epidemiologist', 'university teacher']",63,"['american', 'biostatistician', 'biophysicist', 'bioinformatician', 'statistician']",14.199348,-11.431836
Q7648347,Susan Saegert,American psychologist,['psychologist'],73,"['american', 'psychologist', 'clinical', 'psychiatrist', 'cognitive']",-9.6241455,11.106504
Q62090305,Christine S. Chow,Chemist,['biochemist'],11,"['chemist', 'american', 'british', 'canadian', 'researcher']",4.6220407,11.279338
Q23771473,Cynthia Larive,American chemist,"['chemist', 'researcher']",11,"['chemist', 'american', 'british', 'canadian', 'researcher']",2.9943023,-10.233306
Q4766965,Anna Donald,"Australian physician, medical researcher, academic and lecturer",['epidemiologist'],74,"['australian', 'researcher', 'medical', 'physician', 'health']",6.608981,3.0494664
Q14111,Diane Pozefsky,American computer scientist,['computer scientist'],14,"['computer', 'scientist', 'american', 'british', 'researcher']",20.038317,7.9033594
Q55720795,Lucy Ellen Sewall,American physician (1837-1890),['physician'],58,"['physician', 'american', 'doctor', 'medical', 'british']",6.728143,5.363141
Q451660,Beatrice Tinsley,New Zealand astronomer (1941–1981),"['astronomer', 'university teacher']",38,"['new', 'zealand', 'scientist', 'biologist', 'born']",7.7878194,2.191101
Q58323444,Marian Irwin Osterhout,American plant physiologist (1888-1973),"['botanist', 'physiologist']",81,"['plant', 'american', 'biologist', 'scientist', 'physiologist']",9.980557,11.413516
Q64786,Karin Büttner-Janz,East German gymnast,"['physician', 'artistic gymnast']",88,"['german', 'mathematician', 'scientist', 'physicist', 'biologist']",11.628739,7.2433596
Q1515604,Gertrud Kornfeld,German chemist (1891–1955),['chemist'],46,"['chemist', 'german', 'british', 'american', 'professor']",9.804495,7.7966943
Q59533000,Irene Jakab,"Romanian psychiatrist, neurologist, and humanist","['physician', 'neurologist', 'psychiatrist', 'physician-scientist', 'humanist']",8,"['psychologist', 'american', 'british', 'psychiatrist', 'psychoanalyst']",9.398808,7.657147
